xField[m],yField[m]
110.000000,0.000000
110.000000,72.000000
0.000000,72.000000
0.000000,0.000000
time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20200201T194857000,54.518816,26.306269,47.032908,8.305032,0.609840,NaN,NaN,NaN
20200201T194857100,54.353408,26.328858,47.032910,8.305032,1.225080,NaN,NaN,NaN
20200201T194857200,54.181175,26.375882,47.032911,8.305032,1.874160,NaN,NaN,NaN
20200201T194857300,54.029444,26.411421,47.032913,8.305032,2.484720,NaN,NaN,NaN
20200201T194857400,53.869545,26.525738,47.032914,8.305034,3.108960,NaN,NaN,NaN
20200201T194857500,53.758844,26.600125,47.032915,8.305034,3.656880,NaN,NaN,NaN
20200201T194857600,53.638577,26.683994,47.032917,8.305035,4.200840,NaN,NaN,NaN
20200201T194857700,53.501920,26.801779,47.032918,8.305036,4.802760,NaN,NaN,NaN
20200201T194857800,53.392590,26.883643,47.032919,8.305037,5.370840,NaN,NaN,NaN
20200201T194857900,53.269582,26.952558,47.032920,8.305038,5.905440,NaN,NaN,NaN
20200201T194858000,53.141120,27.053385,47.032922,8.305039,5.850360,NaN,NaN,NaN
20200201T194858100,52.998982,27.141262,47.032923,8.305039,5.813280,NaN,NaN,NaN
20200201T194858200,52.834972,27.233149,47.032925,8.305040,5.787720,NaN,NaN,NaN
20200201T194858300,52.690093,27.306072,47.032926,8.305041,5.789520,NaN,NaN,NaN
20200201T194858400,52.565715,27.367510,47.032927,8.305041,5.742720,NaN,NaN,NaN
20200201T194858500,52.461866,27.479282,47.032928,8.305042,5.760360,NaN,NaN,NaN
20200201T194858600,52.356646,27.583577,47.032929,8.305044,5.750640,NaN,NaN,NaN
20200201T194858700,52.262363,27.685868,47.032930,8.305045,5.694120,NaN,NaN,NaN
20200201T194858800,52.161254,27.812593,47.032932,8.305046,5.694120,NaN,NaN,NaN
20200201T194858900,52.072425,27.882972,47.032932,8.305047,5.694120,NaN,NaN,NaN
20200201T194859000,51.963094,27.964836,47.032933,8.305048,5.654160,NaN,NaN,NaN
20200201T194859100,51.846939,28.071135,47.032935,8.305049,5.619600,NaN,NaN,NaN
20200201T194859200,51.723931,28.140050,47.032936,8.305049,5.540400,NaN,NaN,NaN
20200201T194859300,51.568116,28.214978,47.032937,8.305050,5.522040,NaN,NaN,NaN
20200201T194859400,51.435543,28.293374,47.032939,8.305051,5.545800,NaN,NaN,NaN
20200201T194859500,51.334407,28.358280,47.032940,8.305051,5.509800,NaN,NaN,NaN
20200201T194859600,51.233299,28.485006,47.032941,8.305053,5.543280,NaN,NaN,NaN
20200201T194859700,51.140386,28.594773,47.032942,8.305054,5.565600,NaN,NaN,NaN
20200201T194859800,50.999618,28.690128,47.032943,8.305055,5.580360,NaN,NaN,NaN
20200201T194859900,50.914900,28.782937,47.032944,8.305056,5.604120,NaN,NaN,NaN
20200201T194900000,50.806912,28.810458,47.032945,8.305056,5.603760,NaN,NaN,NaN
20200201T194900100,50.718082,28.880836,47.032946,8.305056,5.555520,NaN,NaN,NaN
20200201T194900200,50.580027,28.929324,47.032947,8.305057,5.519160,NaN,NaN,NaN
20200201T194900300,50.448797,28.953377,47.032949,8.305057,5.433120,NaN,NaN,NaN
20200201T194900400,50.286130,28.990920,47.032950,8.305057,5.373360,NaN,NaN,NaN
20200201T194900500,50.145334,29.024454,47.032951,8.305057,5.434560,NaN,NaN,NaN
20200201T194900600,50.048282,29.049971,47.032952,8.305057,5.374440,NaN,NaN,NaN
20200201T194900700,49.949887,29.129831,47.032953,8.305058,5.276160,NaN,NaN,NaN
20200201T194900800,49.852863,29.217167,47.032954,8.305059,5.148360,NaN,NaN,NaN
20200201T194900900,49.783164,29.268583,47.032955,8.305059,5.012280,NaN,NaN,NaN
20200201T194901000,49.695705,29.346438,47.032956,8.305060,4.937400,NaN,NaN,NaN
20200201T194901100,49.620524,29.367946,47.032956,8.305060,4.833000,NaN,NaN,NaN
20200201T194901200,49.535778,29.398935,47.032957,8.305060,4.696200,NaN,NaN,NaN
20200201T194901300,49.446921,29.407493,47.032958,8.305060,4.553280,NaN,NaN,NaN
20200201T194901400,49.336192,29.420060,47.032959,8.305060,4.391640,NaN,NaN,NaN
20200201T194901500,49.215898,29.442109,47.032960,8.305060,4.197960,NaN,NaN,NaN
20200201T194901600,49.094233,29.456680,47.032961,8.305060,4.130280,NaN,NaN,NaN
20200201T194901700,48.978023,29.439340,47.032962,8.305060,4.111560,NaN,NaN,NaN
20200201T194901800,48.867294,29.451907,47.032963,8.305060,4.078800,NaN,NaN,NaN
20200201T194901900,48.827634,29.420535,47.032964,8.305059,4.023360,NaN,NaN,NaN
20200201T194902000,48.820782,29.383150,47.032964,8.305058,3.870360,NaN,NaN,NaN
20200201T194902100,48.813930,29.345765,47.032964,8.305058,3.714480,NaN,NaN,NaN
20200201T194902200,48.820727,29.259510,47.032963,8.305057,3.552120,NaN,NaN,NaN
20200201T194902300,48.843941,29.201158,47.032963,8.305056,3.368880,NaN,NaN,NaN
20200201T194902400,48.871267,29.165237,47.032963,8.305056,3.114360,NaN,NaN,NaN
20200201T194902500,48.898593,29.129316,47.032963,8.305055,2.827800,NaN,NaN,NaN
20200201T194902600,48.890370,29.084454,47.032963,8.305055,2.496600,NaN,NaN,NaN
20200201T194902700,48.852081,29.060560,47.032963,8.305054,2.175840,NaN,NaN,NaN
20200201T194902800,48.800115,29.023716,47.032963,8.305054,1.925640,NaN,NaN,NaN
20200201T194902900,48.750890,29.001825,47.032964,8.305053,1.764720,NaN,NaN,NaN
20200201T194903000,48.679793,28.983944,47.032964,8.305053,1.706760,NaN,NaN,NaN
20200201T194903100,48.642874,28.967526,47.032964,8.305053,1.697400,NaN,NaN,NaN
20200201T194903200,48.605928,28.889289,47.032965,8.305052,1.698840,NaN,NaN,NaN
20200201T194903300,48.633254,28.853367,47.032964,8.305051,1.654200,NaN,NaN,NaN
20200201T194903400,48.676997,28.845350,47.032964,8.305051,1.585440,NaN,NaN,NaN
20200201T194903500,48.685192,28.828392,47.032964,8.305051,1.487160,NaN,NaN,NaN
20200201T194903600,48.787698,28.770963,47.032963,8.305051,1.528920,NaN,NaN,NaN
20200201T194903700,49.017296,28.605230,47.032961,8.305049,1.820160,NaN,NaN,NaN
20200201T194903800,49.308397,28.405040,47.032958,8.305047,2.349720,NaN,NaN,NaN
20200201T194903900,49.494279,28.309145,47.032956,8.305046,2.772000,NaN,NaN,NaN
20200201T194904000,49.740349,28.294956,47.032954,8.305047,3.185640,NaN,NaN,NaN
20200201T194904100,50.005550,28.261804,47.032951,8.305047,3.700440,NaN,NaN,NaN
20200201T194904200,50.166847,28.216784,47.032950,8.305047,4.184640,NaN,NaN,NaN
20200201T194904300,50.311726,28.143861,47.032948,8.305046,4.689360,NaN,NaN,NaN
20200201T194904400,50.328116,28.109944,47.032948,8.305046,5.091840,NaN,NaN,NaN
20200201T194904500,50.217360,28.060691,47.032949,8.305045,5.283360,NaN,NaN,NaN
20200201T194904600,50.071082,28.064318,47.032950,8.305044,5.211360,NaN,NaN,NaN
20200201T194904700,49.913842,28.008128,47.032952,8.305043,5.013720,NaN,NaN,NaN
20200201T194904800,49.809937,27.996260,47.032953,8.305043,4.558680,NaN,NaN,NaN
20200201T194904900,49.636334,28.035807,47.032954,8.305043,4.260600,NaN,NaN,NaN
20200201T194905000,49.465444,28.028489,47.032956,8.305042,3.996720,NaN,NaN,NaN
20200201T194905100,49.239875,28.031192,47.032958,8.305042,3.704040,NaN,NaN,NaN
20200201T194905200,49.040262,27.990497,47.032959,8.305041,3.540240,NaN,NaN,NaN
20200201T194905300,48.750420,27.950884,47.032962,8.305040,3.551400,NaN,NaN,NaN
20200201T194905400,48.451014,27.920752,47.032964,8.305039,3.870720,NaN,NaN,NaN
20200201T194905500,48.098243,27.784479,47.032967,8.305036,4.579560,NaN,NaN,NaN
20200201T194905600,47.759176,27.722975,47.032970,8.305034,5.439240,NaN,NaN,NaN
20200201T194905700,47.405118,27.764685,47.032973,8.305034,6.222240,NaN,NaN,NaN
20200201T194905800,46.871892,27.630575,47.032978,8.305031,7.244640,NaN,NaN,NaN
20200201T194905900,46.342750,27.457075,47.032982,8.305028,8.375040,NaN,NaN,NaN
20200201T194906000,45.913428,27.334833,47.032986,8.305025,9.507240,NaN,NaN,NaN
20200201T194906100,45.481338,27.135817,47.032989,8.305022,10.603080,NaN,NaN,NaN
20200201T194906200,45.058841,26.989139,47.032993,8.305019,11.647440,NaN,NaN,NaN
20200201T194906300,44.596684,26.811091,47.032997,8.305015,12.680640,NaN,NaN,NaN
20200201T194906400,44.088070,26.687925,47.033001,8.305012,13.685040,NaN,NaN,NaN
20200201T194906500,43.584966,26.656488,47.033006,8.305011,14.584320,NaN,NaN,NaN
20200201T194906600,43.081834,26.563231,47.033010,8.305008,15.513480,NaN,NaN,NaN
20200201T194906700,42.569110,26.417635,47.033014,8.305005,16.406640,NaN,NaN,NaN
20200201T194906800,42.132963,26.319828,47.033018,8.305003,16.941960,NaN,NaN,NaN
20200201T194906900,41.653074,26.230039,47.033022,8.305001,17.342640,NaN,NaN,NaN
20200201T194907000,41.113023,26.120365,47.033026,8.304998,17.720280,NaN,NaN,NaN
20200201T194907100,40.644069,26.028571,47.033031,8.304996,17.987760,NaN,NaN,NaN
