xField[m],yField[m]
110.000000,0.000000
110.000000,72.000000
0.000000,72.000000
0.000000,0.000000
time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20200201T191822000,50.634157,5.603483,47.032909,8.304755,0.184680,NaN,NaN,NaN
20200201T191822100,50.501502,5.496419,47.032910,8.304753,0.502560,NaN,NaN,NaN
20200201T191822200,50.357883,5.329541,47.032911,8.304751,1.088280,NaN,NaN,NaN
20200201T191822300,50.297666,5.186016,47.032911,8.304749,1.707480,NaN,NaN,NaN
20200201T191822400,50.163668,5.133295,47.032912,8.304748,2.154600,NaN,NaN,NaN
20200201T191822500,50.037865,5.063617,47.032913,8.304747,2.632320,NaN,NaN,NaN
20200201T191822600,49.947610,5.002879,47.032914,8.304746,3.053160,NaN,NaN,NaN
20200201T191822700,49.793111,4.961644,47.032915,8.304745,3.498120,NaN,NaN,NaN
20200201T191822800,49.603008,4.787829,47.032917,8.304742,4.090320,NaN,NaN,NaN
20200201T191822900,49.350031,4.640995,47.032919,8.304740,4.856760,NaN,NaN,NaN
20200201T191823000,49.240590,4.475580,47.032919,8.304737,5.365440,NaN,NaN,NaN
20200201T191823100,49.094258,4.355568,47.032921,8.304735,5.696640,NaN,NaN,NaN
20200201T191823200,48.912378,4.226615,47.032922,8.304733,5.795280,NaN,NaN,NaN
20200201T191823300,48.723673,4.122097,47.032923,8.304731,5.875920,NaN,NaN,NaN
20200201T191823400,48.548617,3.968708,47.032925,8.304729,6.112800,NaN,NaN,NaN
20200201T191823500,48.446000,3.778858,47.032925,8.304726,6.264000,NaN,NaN,NaN
20200201T191823600,48.454167,3.700080,47.032925,8.304725,6.179760,NaN,NaN,NaN
20200201T191823700,48.496512,3.622766,47.032925,8.304724,5.951160,NaN,NaN,NaN
20200201T191823800,48.671484,3.590695,47.032923,8.304724,5.916240,NaN,NaN,NaN
20200201T191823900,48.868356,3.616435,47.032921,8.304725,5.814720,NaN,NaN,NaN
20200201T191824000,49.128101,3.615194,47.032919,8.304726,5.936400,NaN,NaN,NaN
20200201T191824100,49.396069,3.658815,47.032917,8.304727,6.186240,NaN,NaN,NaN
20200201T191824200,49.639453,3.753311,47.032915,8.304729,6.483960,NaN,NaN,NaN
20200201T191824300,49.817250,3.921653,47.032913,8.304731,6.733080,NaN,NaN,NaN
20200201T191824400,50.096265,4.210549,47.032911,8.304736,7.229160,NaN,NaN,NaN
20200201T191824500,50.460054,4.530275,47.032909,8.304741,8.061840,NaN,NaN,NaN
20200201T191824600,50.804656,4.745324,47.032906,8.304744,9.164880,NaN,NaN,NaN
20200201T191824700,51.212104,4.871573,47.032903,8.304747,10.433520,NaN,NaN,NaN
20200201T191824800,51.582633,4.981405,47.032900,8.304749,11.333880,NaN,NaN,NaN
20200201T191824900,51.857454,5.062410,47.032897,8.304751,12.001320,NaN,NaN,NaN
20200201T191825000,52.152747,5.070110,47.032895,8.304752,12.443400,NaN,NaN,NaN
20200201T191825100,52.248428,5.037117,47.032894,8.304752,12.443040,NaN,NaN,NaN
20200201T191825200,52.491728,4.946153,47.032891,8.304751,12.405960,NaN,NaN,NaN
20200201T191825300,52.706388,5.007273,47.032890,8.304752,12.363840,NaN,NaN,NaN
20200201T191825400,53.015331,4.966103,47.032887,8.304752,12.162960,NaN,NaN,NaN
20200201T191825500,53.284669,5.017201,47.032885,8.304754,11.678760,NaN,NaN,NaN
20200201T191825600,53.648291,4.966009,47.032881,8.304754,11.391480,NaN,NaN,NaN
20200201T191825700,53.774066,4.973868,47.032880,8.304754,10.822680,NaN,NaN,NaN
20200201T191825800,54.021561,5.090794,47.032878,8.304756,10.309680,NaN,NaN,NaN
20200201T191825900,54.264889,5.061651,47.032876,8.304757,9.908280,NaN,NaN,NaN
20200201T191826000,54.278537,5.012780,47.032876,8.304756,9.303840,NaN,NaN,NaN
20200201T191826100,54.342809,5.055096,47.032875,8.304757,8.981640,NaN,NaN,NaN
20200201T191826200,54.489086,5.051470,47.032874,8.304757,8.567640,NaN,NaN,NaN
20200201T191826300,54.431666,5.046538,47.032874,8.304757,7.970040,NaN,NaN,NaN
20200201T191826400,54.422101,5.056019,47.032875,8.304757,7.203960,NaN,NaN,NaN
20200201T191826500,54.397516,5.106894,47.032875,8.304758,6.433200,NaN,NaN,NaN
20200201T191826600,54.356570,5.253505,47.032875,8.304759,5.714280,NaN,NaN,NaN
20200201T191826700,54.321077,5.368204,47.032876,8.304761,5.183640,NaN,NaN,NaN
