time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20200203T133457000,-170.653469,-8.434271,47.030040,8.287619,0.623160,NaN,NaN,NaN
20200203T133457100,-170.790308,-8.601037,47.030039,8.287617,1.351080,NaN,NaN,NaN
20200203T133457200,-171.003166,-8.734447,47.030038,8.287614,2.212560,NaN,NaN,NaN
20200203T133457300,-171.117198,-8.856742,47.030037,8.287613,2.826000,NaN,NaN,NaN
20200203T133457400,-171.314852,-8.990153,47.030035,8.287610,3.516120,NaN,NaN,NaN
20200203T133457500,-171.497303,-9.145800,47.030034,8.287608,4.326480,NaN,NaN,NaN
20200203T133457600,-171.656947,-9.301447,47.030032,8.287606,5.067360,NaN,NaN,NaN
20200203T133457700,-171.801390,-9.501568,47.030031,8.287604,5.803920,NaN,NaN,NaN
20200203T133457800,-171.915423,-9.679452,47.030029,8.287602,6.571080,NaN,NaN,NaN
20200203T133457900,-172.067467,-9.857336,47.030028,8.287600,7.462080,NaN,NaN,NaN
20200203T133458000,-172.265121,-10.012983,47.030026,8.287598,7.683840,NaN,NaN,NaN
20200203T133458100,-172.409562,-10.146395,47.030025,8.287596,7.629840,NaN,NaN,NaN
20200203T133458200,-172.477982,-10.235337,47.030024,8.287595,7.508520,NaN,NaN,NaN
20200203T133458300,-172.607219,-10.402103,47.030023,8.287593,7.663320,NaN,NaN,NaN
20200203T133458400,-172.683243,-10.579989,47.030021,8.287592,7.609320,NaN,NaN,NaN
20200203T133458500,-172.782075,-10.802347,47.030019,8.287591,7.557840,NaN,NaN,NaN
20200203T133458600,-172.979730,-10.969111,47.030017,8.287588,7.724880,NaN,NaN,NaN
20200203T133458700,-173.116572,-11.247058,47.030015,8.287587,7.891920,NaN,NaN,NaN
20200203T133458800,-173.238207,-11.380470,47.030014,8.287585,7.804080,NaN,NaN,NaN
20200203T133458900,-173.367445,-11.580591,47.030012,8.287583,7.744320,NaN,NaN,NaN
20200203T133459000,-173.527092,-11.791828,47.030010,8.287581,7.808400,NaN,NaN,NaN
20200203T133459100,-173.656332,-12.047539,47.030008,8.287579,7.954200,NaN,NaN,NaN
20200203T133459200,-173.823580,-12.258776,47.030006,8.287577,8.114040,NaN,NaN,NaN
20200203T133459300,-173.960419,-12.414424,47.030004,8.287576,8.228880,NaN,NaN,NaN
20200203T133459400,-174.104861,-12.592308,47.030003,8.287574,8.435520,NaN,NaN,NaN
20200203T133459500,-174.279710,-12.736838,47.030002,8.287571,8.429040,NaN,NaN,NaN
20200203T133459600,-174.408948,-12.936958,47.030000,8.287570,8.353440,NaN,NaN,NaN
20200203T133459700,-174.530583,-13.081489,47.029998,8.287568,8.256600,NaN,NaN,NaN
20200203T133459800,-174.599005,-13.259375,47.029997,8.287567,8.292240,NaN,NaN,NaN
20200203T133459900,-174.644620,-13.370554,47.029996,8.287567,8.083440,NaN,NaN,NaN
20200203T133500000,-174.804267,-13.581791,47.029994,8.287564,8.014680,NaN,NaN,NaN
20200203T133500100,-174.933504,-13.726322,47.029993,8.287563,8.012520,NaN,NaN,NaN
20200203T133500200,-175.009529,-13.915325,47.029991,8.287562,7.836480,NaN,NaN,NaN
20200203T133500300,-175.138765,-14.037620,47.029990,8.287560,7.689240,NaN,NaN,NaN
20200203T133500400,-175.252799,-14.204387,47.029988,8.287558,7.634880,NaN,NaN,NaN
20200203T133500500,-175.336426,-14.426744,47.029986,8.287557,7.668720,NaN,NaN,NaN
20200203T133500600,-175.442859,-14.637984,47.029984,8.287556,7.593480,NaN,NaN,NaN
20200203T133500700,-175.564496,-14.838104,47.029983,8.287554,7.614720,NaN,NaN,NaN
20200203T133500800,-175.670930,-15.071579,47.029981,8.287553,7.788960,NaN,NaN,NaN
20200203T133500900,-175.822974,-15.282817,47.029979,8.287551,8.010360,NaN,NaN,NaN
20200203T133501000,-175.975019,-15.494055,47.029977,8.287549,8.030880,NaN,NaN,NaN
