time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20200203T133457000,-167.133453,-8.300945,47.030041,8.287665,1.024920,NaN,NaN,NaN
20200203T133457100,-167.338710,-8.512181,47.030040,8.287663,2.100600,NaN,NaN,NaN
20200203T133457200,-167.498356,-8.723419,47.030038,8.287660,2.981880,NaN,NaN,NaN
20200203T133457300,-167.688409,-8.923537,47.030036,8.287658,3.921120,NaN,NaN,NaN
20200203T133457400,-167.863259,-9.123656,47.030034,8.287656,4.919760,NaN,NaN,NaN
20200203T133457500,-168.068515,-9.301538,47.030032,8.287653,5.883840,NaN,NaN,NaN
20200203T133457600,-168.281373,-9.446066,47.030031,8.287650,6.742440,NaN,NaN,NaN
20200203T133457700,-168.471424,-9.590595,47.030030,8.287648,7.656840,NaN,NaN,NaN
20200203T133457800,-168.638672,-9.801832,47.030028,8.287645,8.632800,NaN,NaN,NaN
20200203T133457900,-168.798317,-9.957479,47.030027,8.287643,9.425880,NaN,NaN,NaN
20200203T133458000,-168.950362,-10.202071,47.030024,8.287641,9.182160,NaN,NaN,NaN
20200203T133458100,-169.117609,-10.391072,47.030023,8.287639,9.056160,NaN,NaN,NaN
20200203T133458200,-169.315263,-10.557836,47.030021,8.287637,9.134280,NaN,NaN,NaN
20200203T133458300,-169.497714,-10.724601,47.030020,8.287634,8.985240,NaN,NaN,NaN
20200203T133458400,-169.687766,-10.869130,47.030018,8.287632,8.893440,NaN,NaN,NaN
20200203T133458500,-169.862615,-11.080366,47.030016,8.287629,8.936280,NaN,NaN,NaN
20200203T133458600,-170.022261,-11.258250,47.030015,8.287627,8.934120,NaN,NaN,NaN
20200203T133458700,-170.166702,-11.447251,47.030013,8.287625,8.813520,NaN,NaN,NaN
20200203T133458800,-170.318746,-11.647371,47.030011,8.287623,8.761320,NaN,NaN,NaN
20200203T133458900,-170.508800,-11.880843,47.030009,8.287621,9.002160,NaN,NaN,NaN
20200203T133459000,-170.706455,-12.047608,47.030008,8.287618,9.095400,NaN,NaN,NaN
20200203T133459100,-170.881303,-12.203255,47.030006,8.287616,9.011520,NaN,NaN,NaN
20200203T133459200,-171.033348,-12.436728,47.030004,8.287614,9.047520,NaN,NaN,NaN
20200203T133459300,-171.192994,-12.647965,47.030002,8.287612,9.209880,NaN,NaN,NaN
20200203T133459400,-171.307028,-12.836968,47.030001,8.287610,9.070560,NaN,NaN,NaN
20200203T133459500,-171.459072,-13.048205,47.029999,8.287608,8.996400,NaN,NaN,NaN
20200203T133459600,-171.641525,-13.281678,47.029997,8.287606,9.159840,NaN,NaN,NaN
20200203T133459700,-171.823976,-13.470678,47.029995,8.287604,9.291600,NaN,NaN,NaN
20200203T133459800,-171.991224,-13.659680,47.029993,8.287601,9.269640,NaN,NaN,NaN
20200203T133459900,-172.158472,-13.882035,47.029991,8.287599,9.230400,NaN,NaN,NaN
20200203T133500000,-172.295313,-14.104390,47.029989,8.287597,9.354240,NaN,NaN,NaN
20200203T133500100,-172.424550,-14.282274,47.029988,8.287596,9.281520,NaN,NaN,NaN
20200203T133500200,-172.568993,-14.515748,47.029986,8.287594,9.259200,NaN,NaN,NaN
20200203T133500300,-172.736242,-14.749221,47.029984,8.287592,9.356760,NaN,NaN,NaN
20200203T133500400,-172.911091,-14.938222,47.029982,8.287589,9.530280,NaN,NaN,NaN
20200203T133500500,-173.078339,-15.127223,47.029980,8.287587,9.483480,NaN,NaN,NaN
