time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20200203T133457000,-168.076144,-11.380600,47.030014,8.287653,0.812880,NaN,NaN,NaN
20200203T133457100,-168.174975,-11.580721,47.030012,8.287652,1.652400,NaN,NaN,NaN
20200203T133457200,-168.319416,-11.769723,47.030010,8.287650,2.480400,NaN,NaN,NaN
20200203T133457300,-168.433450,-11.969843,47.030009,8.287648,3.226680,NaN,NaN,NaN
20200203T133457400,-168.570290,-12.169963,47.030007,8.287646,4.083840,NaN,NaN,NaN
20200203T133457500,-168.699528,-12.347847,47.030005,8.287645,4.922640,NaN,NaN,NaN
20200203T133457600,-168.805958,-12.481260,47.030004,8.287643,5.562000,NaN,NaN,NaN
20200203T133457700,-168.958001,-12.636908,47.030003,8.287641,6.125040,NaN,NaN,NaN
20200203T133457800,-169.056832,-12.859265,47.030000,8.287640,6.908400,NaN,NaN,NaN
20200203T133457900,-169.163264,-13.059386,47.029999,8.287639,7.754400,NaN,NaN,NaN
20200203T133458000,-169.262094,-13.259506,47.029997,8.287637,7.620840,NaN,NaN,NaN
20200203T133458100,-169.345721,-13.448510,47.029995,8.287636,7.457040,NaN,NaN,NaN
20200203T133458200,-169.497764,-13.637511,47.029994,8.287634,7.557840,NaN,NaN,NaN
20200203T133458300,-169.649808,-13.826513,47.029992,8.287632,7.621200,NaN,NaN,NaN
20200203T133458400,-169.748638,-14.004398,47.029990,8.287631,7.384680,NaN,NaN,NaN
20200203T133458500,-169.877875,-14.193400,47.029989,8.287629,7.310520,NaN,NaN,NaN
20200203T133458600,-169.999512,-14.426874,47.029986,8.287628,7.586640,NaN,NaN,NaN
20200203T133458700,-170.090741,-14.626995,47.029985,8.287626,7.835040,NaN,NaN,NaN
20200203T133458800,-170.197173,-14.827116,47.029983,8.287625,7.725960,NaN,NaN,NaN
20200203T133458900,-170.334014,-15.049472,47.029981,8.287623,7.792920,NaN,NaN,NaN
20200203T133459000,-170.463252,-15.249592,47.029979,8.287622,8.025120,NaN,NaN,NaN
20200203T133459100,-170.630500,-15.438593,47.029977,8.287619,8.134200,NaN,NaN,NaN
20200203T133459200,-170.736930,-15.572006,47.029976,8.287618,7.883280,NaN,NaN,NaN
20200203T133459300,-170.866169,-15.783244,47.029974,8.287616,7.977240,NaN,NaN,NaN
