time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20200203T133457000,-165.461186,-11.947692,47.030009,8.287687,0.953280,NaN,NaN,NaN
20200203T133457100,-165.651239,-12.147811,47.030007,8.287685,1.902240,NaN,NaN,NaN
20200203T133457200,-165.765271,-12.270105,47.030006,8.287683,2.603880,NaN,NaN,NaN
20200203T133457300,-165.917315,-12.470225,47.030004,8.287681,3.480120,NaN,NaN,NaN
20200203T133457400,-166.107368,-12.648108,47.030002,8.287679,4.433760,NaN,NaN,NaN
20200203T133457500,-166.305021,-12.781518,47.030001,8.287676,5.223960,NaN,NaN,NaN
20200203T133457600,-166.472268,-12.937166,47.030000,8.287674,6.033240,NaN,NaN,NaN
20200203T133457700,-166.662320,-13.115048,47.029998,8.287672,6.986520,NaN,NaN,NaN
20200203T133457800,-166.829567,-13.292931,47.029997,8.287669,7.848360,NaN,NaN,NaN
20200203T133457900,-166.958805,-13.459698,47.029995,8.287668,8.579160,NaN,NaN,NaN
20200203T133458000,-167.118450,-13.637581,47.029994,8.287665,8.465760,NaN,NaN,NaN
20200203T133458100,-167.293298,-13.804346,47.029992,8.287663,8.407440,NaN,NaN,NaN
20200203T133458200,-167.475747,-13.904403,47.029991,8.287661,8.372880,NaN,NaN,NaN
20200203T133458300,-167.673400,-14.004460,47.029990,8.287658,8.269560,NaN,NaN,NaN
20200203T133458400,-167.871054,-14.171224,47.029989,8.287656,8.209800,NaN,NaN,NaN
20200203T133458500,-168.038301,-14.326871,47.029987,8.287653,8.201160,NaN,NaN,NaN
20200203T133458600,-168.182742,-14.504755,47.029986,8.287651,8.125560,NaN,NaN,NaN
20200203T133458700,-168.289172,-14.627050,47.029985,8.287650,7.947000,NaN,NaN,NaN
20200203T133458800,-168.471623,-14.782697,47.029983,8.287648,7.895880,NaN,NaN,NaN
20200203T133458900,-168.654072,-14.904990,47.029982,8.287645,7.872480,NaN,NaN,NaN
20200203T133459000,-168.828919,-15.016165,47.029981,8.287643,7.803000,NaN,NaN,NaN
20200203T133459100,-169.018971,-15.160694,47.029980,8.287641,7.791840,NaN,NaN,NaN
20200203T133459200,-169.155811,-15.327460,47.029978,8.287639,7.916760,NaN,NaN,NaN
20200203T133459300,-169.285047,-15.449754,47.029977,8.287637,7.781400,NaN,NaN,NaN
20200203T133459400,-169.399081,-15.649875,47.029975,8.287636,7.716600,NaN,NaN,NaN
20200203T133459500,-169.543523,-15.849994,47.029974,8.287634,7.808400,NaN,NaN,NaN
20200203T133459600,-169.748780,-16.038994,47.029972,8.287631,7.883640,NaN,NaN,NaN
20200203T133459700,-169.961639,-16.239112,47.029970,8.287628,8.003160,NaN,NaN,NaN
20200203T133459800,-170.113683,-16.428114,47.029968,8.287626,8.182800,NaN,NaN,NaN
20200203T133459900,-170.235319,-16.628234,47.029967,8.287624,8.326800,NaN,NaN,NaN
20200203T133500000,-170.349353,-16.795001,47.029965,8.287623,8.255520,NaN,NaN,NaN
20200203T133500100,-170.486193,-17.006239,47.029963,8.287621,8.258760,NaN,NaN,NaN
20200203T133500200,-170.607830,-17.217477,47.029961,8.287620,8.373240,NaN,NaN,NaN
20200203T133500300,-170.805484,-17.373124,47.029960,8.287617,8.558640,NaN,NaN,NaN
20200203T133500400,-170.957527,-17.517653,47.029959,8.287615,8.540280,NaN,NaN,NaN
