time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20200203T133457000,-161.798052,-10.246772,47.030024,8.287736,1.260720,NaN,NaN,NaN
20200203T133457100,-162.018514,-10.413537,47.030022,8.287733,2.401560,NaN,NaN,NaN
20200203T133457200,-162.193363,-10.558067,47.030021,8.287730,3.470040,NaN,NaN,NaN
20200203T133457300,-162.375816,-10.791542,47.030019,8.287728,4.502880,NaN,NaN,NaN
20200203T133457400,-162.573474,-11.069488,47.030017,8.287725,5.563080,NaN,NaN,NaN
20200203T133457500,-162.771131,-11.291844,47.030015,8.287723,6.648120,NaN,NaN,NaN
20200203T133457600,-163.014401,-11.525317,47.030012,8.287720,7.805520,NaN,NaN,NaN
20200203T133457700,-163.250068,-11.758790,47.030010,8.287716,8.919720,NaN,NaN,NaN
20200203T133457800,-163.478132,-11.958909,47.030009,8.287713,9.995760,NaN,NaN,NaN
20200203T133457900,-163.729002,-12.159028,47.030007,8.287710,11.158920,NaN,NaN,NaN
20200203T133458000,-163.873446,-12.403621,47.030005,8.287708,10.891440,NaN,NaN,NaN
20200203T133458100,-164.010286,-12.559270,47.030003,8.287706,10.638720,NaN,NaN,NaN
20200203T133458200,-164.215545,-12.792744,47.030001,8.287704,10.575000,NaN,NaN,NaN
20200203T133458300,-164.436008,-13.003981,47.029999,8.287701,10.579680,NaN,NaN,NaN
20200203T133458400,-164.679276,-13.204100,47.029997,8.287698,10.570320,NaN,NaN,NaN
20200203T133458500,-164.861728,-13.381984,47.029996,8.287695,10.398960,NaN,NaN,NaN
20200203T133458600,-165.044181,-13.570986,47.029994,8.287693,10.232280,NaN,NaN,NaN
20200203T133458700,-165.219032,-13.782225,47.029992,8.287691,10.077120,NaN,NaN,NaN
20200203T133458800,-165.371079,-14.071290,47.029990,8.287689,9.916920,NaN,NaN,NaN
20200203T133458900,-165.561134,-14.304764,47.029987,8.287686,9.702000,NaN,NaN,NaN
20200203T133459000,-165.758790,-14.482648,47.029986,8.287683,9.689760,NaN,NaN,NaN
20200203T133459100,-165.971651,-14.682767,47.029984,8.287681,9.759960,NaN,NaN,NaN
20200203T133459200,-166.154105,-14.916242,47.029982,8.287678,9.631080,NaN,NaN,NaN
20200203T133459300,-166.382168,-15.083007,47.029980,8.287675,9.576360,NaN,NaN,NaN
20200203T133459400,-166.557020,-15.316481,47.029978,8.287673,9.545760,NaN,NaN,NaN
20200203T133459500,-166.701463,-15.516602,47.029977,8.287671,9.495720,NaN,NaN,NaN
20200203T133459600,-166.845906,-15.716723,47.029975,8.287669,9.362880,NaN,NaN,NaN
20200203T133459700,-166.997949,-15.850136,47.029974,8.287667,9.318240,NaN,NaN,NaN
20200203T133459800,-167.172800,-16.050256,47.029972,8.287665,9.306360,NaN,NaN,NaN
20200203T133459900,-167.362853,-16.194786,47.029970,8.287662,9.196560,NaN,NaN,NaN
20200203T133500000,-167.545305,-16.383788,47.029969,8.287660,9.078480,NaN,NaN,NaN
20200203T133500100,-167.712554,-16.583909,47.029967,8.287658,9.096840,NaN,NaN,NaN
20200203T133500200,-167.864602,-16.872974,47.029964,8.287656,9.234000,NaN,NaN,NaN
20200203T133500300,-167.978639,-17.173159,47.029962,8.287654,9.239040,NaN,NaN,NaN
20200203T133500400,-168.153489,-17.339925,47.029960,8.287652,9.234000,NaN,NaN,NaN
20200203T133500500,-168.305533,-17.495574,47.029959,8.287650,9.292320,NaN,NaN,NaN
20200203T133500600,-168.465180,-17.706812,47.029957,8.287648,9.335520,NaN,NaN,NaN
20200203T133500700,-168.670439,-17.918050,47.029955,8.287645,9.330480,NaN,NaN,NaN
20200203T133500800,-168.837688,-18.107052,47.029953,8.287643,9.448200,NaN,NaN,NaN
20200203T133500900,-168.951724,-18.318292,47.029951,8.287641,9.552960,NaN,NaN,NaN
20200203T133501000,-169.096168,-18.562886,47.029949,8.287640,9.578160,NaN,NaN,NaN
20200203T133501100,-169.240611,-18.763007,47.029947,8.287638,9.524880,NaN,NaN,NaN
20200203T133501200,-169.392656,-18.952010,47.029946,8.287636,9.471960,NaN,NaN,NaN
20200203T133501300,-169.590314,-19.207720,47.029943,8.287633,9.459360,NaN,NaN,NaN
20200203T133501400,-169.757563,-19.407840,47.029942,8.287631,9.365760,NaN,NaN,NaN
20200203T133501500,-169.924811,-19.563488,47.029940,8.287629,9.478800,NaN,NaN,NaN
20200203T133501600,-170.061652,-19.774728,47.029938,8.287627,9.547560,NaN,NaN,NaN
20200203T133501700,-170.183290,-19.974850,47.029936,8.287625,9.488880,NaN,NaN,NaN
20200203T133501800,-170.304927,-20.174971,47.029935,8.287624,9.311400,NaN,NaN,NaN
20200203T133501900,-170.464573,-20.352856,47.029933,8.287622,9.305640,NaN,NaN,NaN
20200203T133502000,-170.624222,-20.608567,47.029931,8.287619,9.360720,NaN,NaN,NaN
20200203T133502100,-170.776266,-20.764215,47.029929,8.287617,9.240120,NaN,NaN,NaN
20200203T133502200,-170.958720,-20.997690,47.029927,8.287615,9.255240,NaN,NaN,NaN
20200203T133502300,-171.095561,-21.208929,47.029925,8.287613,9.274680,NaN,NaN,NaN
20200203T133502400,-171.201995,-21.409051,47.029924,8.287612,9.199440,NaN,NaN,NaN
20200203T133502500,-171.300826,-21.620292,47.029922,8.287611,8.951760,NaN,NaN,NaN
20200203T133502600,-171.437666,-21.753704,47.029920,8.287609,8.794080,NaN,NaN,NaN
20200203T133502700,-171.551698,-21.864882,47.029919,8.287607,8.686440,NaN,NaN,NaN
20200203T133502800,-171.673334,-22.009413,47.029918,8.287606,8.510400,NaN,NaN,NaN
20200203T133502900,-171.802573,-22.187299,47.029917,8.287604,8.341920,NaN,NaN,NaN
20200203T133503000,-171.931810,-22.331830,47.029915,8.287602,8.223120,NaN,NaN,NaN
20200203T133503100,-172.030641,-22.487480,47.029914,8.287601,8.233920,NaN,NaN,NaN
20200203T133503200,-172.091463,-22.709840,47.029912,8.287600,7.990560,NaN,NaN,NaN
20200203T133503300,-172.197897,-22.932198,47.029910,8.287599,7.806960,NaN,NaN,NaN
20200203T133503400,-172.311931,-23.087847,47.029908,8.287597,7.769160,NaN,NaN,NaN
