time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20200203T133457000,-169.998451,-9.801766,47.030028,8.287628,0.822600,NaN,NaN,NaN
20200203T133457100,-170.097279,-9.946296,47.030027,8.287626,1.583640,NaN,NaN,NaN
20200203T133457200,-170.135289,-9.968531,47.030026,8.287626,2.255760,NaN,NaN,NaN
20200203T133457300,-170.196107,-10.057473,47.030026,8.287625,2.829240,NaN,NaN,NaN
20200203T133457400,-170.272131,-10.268711,47.030024,8.287624,3.451680,NaN,NaN,NaN
20200203T133457500,-170.363358,-10.446595,47.030022,8.287623,4.159440,NaN,NaN,NaN
20200203T133457600,-170.484994,-10.635597,47.030020,8.287621,4.922280,NaN,NaN,NaN
20200203T133457700,-170.644638,-10.813479,47.030019,8.287619,5.761800,NaN,NaN,NaN
20200203T133457800,-170.773874,-10.958008,47.030018,8.287617,6.539760,NaN,NaN,NaN
20200203T133457900,-170.895509,-11.147010,47.030016,8.287616,7.352640,NaN,NaN,NaN
20200203T133458000,-171.032346,-11.280421,47.030015,8.287614,7.344720,NaN,NaN,NaN
20200203T133458100,-171.131176,-11.491659,47.030013,8.287613,7.336800,NaN,NaN,NaN
20200203T133458200,-171.230006,-11.691778,47.030011,8.287611,7.420680,NaN,NaN,NaN
20200203T133458300,-171.344038,-11.825190,47.030010,8.287610,7.621560,NaN,NaN,NaN
20200203T133458400,-171.496082,-12.058662,47.030008,8.287608,7.857720,NaN,NaN,NaN
20200203T133458500,-171.617717,-12.225428,47.030006,8.287606,7.902360,NaN,NaN,NaN
20200203T133458600,-171.762157,-12.392192,47.030005,8.287604,7.890840,NaN,NaN,NaN
20200203T133458700,-171.868587,-12.536722,47.030003,8.287603,7.821720,NaN,NaN,NaN
20200203T133458800,-171.982620,-12.703488,47.030002,8.287601,7.796520,NaN,NaN,NaN
20200203T133458900,-172.096654,-12.925843,47.030000,8.287600,7.769160,NaN,NaN,NaN
20200203T133459000,-172.180280,-13.103727,47.029998,8.287599,7.692840,NaN,NaN,NaN
20200203T133459100,-172.324720,-13.292728,47.029997,8.287597,7.751880,NaN,NaN,NaN
20200203T133459200,-172.499570,-13.526199,47.029995,8.287595,7.932240,NaN,NaN,NaN
20200203T133459300,-172.636410,-13.737436,47.029993,8.287593,8.020440,NaN,NaN,NaN
20200203T133459400,-172.811260,-14.004261,47.029990,8.287591,8.068680,NaN,NaN,NaN
20200203T133459500,-172.940496,-14.126555,47.029989,8.287589,8.196480,NaN,NaN,NaN
20200203T133459600,-173.031723,-14.293321,47.029988,8.287588,8.298720,NaN,NaN,NaN
20200203T133459700,-173.176165,-14.537911,47.029985,8.287586,8.369280,NaN,NaN,NaN
20200203T133459800,-173.290200,-14.760266,47.029983,8.287584,8.488080,NaN,NaN,NaN
20200203T133459900,-173.396631,-14.938150,47.029982,8.287583,8.564040,NaN,NaN,NaN
20200203T133500000,-173.548673,-15.116032,47.029980,8.287581,8.718480,NaN,NaN,NaN
20200203T133500100,-173.708320,-15.382858,47.029978,8.287579,8.796960,NaN,NaN,NaN
20200203T133500200,-173.837558,-15.582977,47.029976,8.287577,8.709840,NaN,NaN,NaN
20200203T133500300,-173.928784,-15.727507,47.029975,8.287576,8.750160,NaN,NaN,NaN
20200203T133500400,-174.035217,-15.938745,47.029973,8.287574,8.713800,NaN,NaN,NaN
20200203T133500500,-174.111242,-16.161101,47.029971,8.287573,8.623800,NaN,NaN,NaN
20200203T133500600,-174.225277,-16.405692,47.029969,8.287572,8.647560,NaN,NaN,NaN
20200203T133500700,-174.308902,-16.561340,47.029967,8.287571,8.647920,NaN,NaN,NaN
20200203T133500800,-174.415334,-16.772578,47.029965,8.287570,8.651880,NaN,NaN,NaN
20200203T133500900,-174.536970,-16.961579,47.029964,8.287568,8.584200,NaN,NaN,NaN
20200203T133501000,-174.597789,-17.106110,47.029962,8.287567,8.445600,NaN,NaN,NaN
20200203T133501100,-174.658607,-17.206170,47.029961,8.287566,8.273880,NaN,NaN,NaN
20200203T133501200,-174.727029,-17.406290,47.029960,8.287565,8.205480,NaN,NaN,NaN
20200203T133501300,-174.848666,-17.661999,47.029957,8.287564,8.117640,NaN,NaN,NaN
20200203T133501400,-174.985509,-17.951061,47.029955,8.287562,8.132760,NaN,NaN,NaN
20200203T133501500,-175.069134,-18.106709,47.029953,8.287561,8.217720,NaN,NaN,NaN
20200203T133501600,-175.175565,-18.295711,47.029952,8.287560,8.211960,NaN,NaN,NaN
20200203T133501700,-175.304804,-18.540302,47.029949,8.287558,8.204040,NaN,NaN,NaN
20200203T133501800,-175.411236,-18.729303,47.029948,8.287556,8.172720,NaN,NaN,NaN
20200203T133501900,-175.479657,-18.862716,47.029947,8.287555,8.197200,NaN,NaN,NaN
20200203T133502000,-175.548080,-19.073955,47.029945,8.287555,8.248320,NaN,NaN,NaN
