time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20200203T133457000,-161.021817,-11.769929,47.030010,8.287746,0.726120,NaN,NaN,NaN
20200203T133457100,-161.105443,-11.925579,47.030009,8.287745,1.445040,NaN,NaN,NaN
20200203T133457200,-161.219476,-12.103464,47.030007,8.287743,2.067480,NaN,NaN,NaN
20200203T133457300,-161.363917,-12.247994,47.030006,8.287741,2.692440,NaN,NaN,NaN
20200203T133457400,-161.569172,-12.392522,47.030005,8.287738,3.473640,NaN,NaN,NaN
20200203T133457500,-161.721215,-12.548170,47.030003,8.287736,4.187160,NaN,NaN,NaN
20200203T133457600,-161.827645,-12.681584,47.030002,8.287735,4.734720,NaN,NaN,NaN
20200203T133457700,-161.964483,-12.781642,47.030001,8.287733,5.291640,NaN,NaN,NaN
20200203T133457800,-162.146932,-12.892817,47.030000,8.287731,6.035400,NaN,NaN,NaN
20200203T133457900,-162.298975,-13.070701,47.029999,8.287729,6.832440,NaN,NaN,NaN
20200203T133458000,-162.443416,-13.226349,47.029997,8.287727,6.697080,NaN,NaN,NaN
20200203T133458100,-162.549847,-13.370881,47.029996,8.287726,6.608880,NaN,NaN,NaN
20200203T133458200,-162.739898,-13.504292,47.029995,8.287723,6.747480,NaN,NaN,NaN
20200203T133458300,-162.929950,-13.626584,47.029994,8.287721,6.909120,NaN,NaN,NaN
20200203T133458400,-162.998370,-13.737763,47.029993,8.287720,6.651000,NaN,NaN,NaN
20200203T133458500,-163.142809,-13.848939,47.029992,8.287718,6.539760,NaN,NaN,NaN
20200203T133458600,-163.302454,-14.015705,47.029990,8.287716,6.772680,NaN,NaN,NaN
20200203T133458700,-163.416487,-14.149118,47.029989,8.287714,6.985800,NaN,NaN,NaN
20200203T133458800,-163.568528,-14.260293,47.029988,8.287712,6.815520,NaN,NaN,NaN
20200203T133458900,-163.621745,-14.393708,47.029987,8.287712,6.540120,NaN,NaN,NaN
20200203T133459000,-163.819398,-14.504883,47.029986,8.287709,6.608160,NaN,NaN,NaN
20200203T133459100,-164.009451,-14.671648,47.029984,8.287706,6.766560,NaN,NaN,NaN
20200203T133459200,-164.176697,-14.793941,47.029983,8.287704,6.638040,NaN,NaN,NaN
20200203T133459300,-164.267923,-14.927355,47.029982,8.287703,6.457680,NaN,NaN,NaN
20200203T133459400,-164.450373,-15.049648,47.029981,8.287701,6.683040,NaN,NaN,NaN
20200203T133459500,-164.602417,-15.249768,47.029979,8.287699,6.935040,NaN,NaN,NaN
20200203T133459600,-164.746859,-15.438770,47.029977,8.287697,6.816240,NaN,NaN,NaN
20200203T133459700,-164.838086,-15.583301,47.029976,8.287695,6.670800,NaN,NaN,NaN
20200203T133459800,-165.005331,-15.705595,47.029975,8.287693,6.868080,NaN,NaN,NaN
20200203T133459900,-165.195384,-15.872360,47.029973,8.287691,7.203240,NaN,NaN,NaN
20200203T133500000,-165.294213,-16.016891,47.029972,8.287689,7.197840,NaN,NaN,NaN
20200203T133500100,-165.400644,-16.172540,47.029971,8.287688,7.058880,NaN,NaN,NaN
20200203T133500200,-165.628704,-16.228124,47.029970,8.287685,7.207920,NaN,NaN,NaN
20200203T133500300,-165.788349,-16.417126,47.029969,8.287683,7.476840,NaN,NaN,NaN
20200203T133500400,-165.955596,-16.572773,47.029967,8.287681,7.488000,NaN,NaN,NaN
20200203T133500500,-166.062027,-16.717304,47.029966,8.287679,7.293240,NaN,NaN,NaN
20200203T133500600,-166.236873,-16.761772,47.029965,8.287677,7.365960,NaN,NaN,NaN
20200203T133500700,-166.419323,-16.928537,47.029964,8.287675,7.568640,NaN,NaN,NaN
20200203T133500800,-166.616976,-17.028593,47.029963,8.287672,7.481880,NaN,NaN,NaN
20200203T133500900,-166.753815,-17.162006,47.029962,8.287670,7.266240,NaN,NaN,NaN
20200203T133501000,-166.936265,-17.306535,47.029961,8.287668,7.400160,NaN,NaN,NaN
20200203T133501100,-167.103513,-17.506654,47.029959,8.287666,7.643160,NaN,NaN,NaN
20200203T133501200,-167.232750,-17.662303,47.029957,8.287664,7.593840,NaN,NaN,NaN
20200203T133501300,-167.339182,-17.851306,47.029956,8.287663,7.357680,NaN,NaN,NaN
20200203T133501400,-167.468420,-18.018072,47.029954,8.287661,7.389720,NaN,NaN,NaN
20200203T133501500,-167.643269,-18.207073,47.029952,8.287659,7.628760,NaN,NaN,NaN
20200203T133501600,-167.795314,-18.418311,47.029950,8.287657,7.694280,NaN,NaN,NaN
20200203T133501700,-167.924551,-18.573960,47.029949,8.287655,7.602480,NaN,NaN,NaN
20200203T133501800,-168.091797,-18.707371,47.029948,8.287653,7.714800,NaN,NaN,NaN
20200203T133501900,-168.236241,-18.963081,47.029946,8.287651,7.990200,NaN,NaN,NaN
20200203T133502000,-168.373081,-19.163201,47.029944,8.287649,7.976880,NaN,NaN,NaN
20200203T133502100,-168.471912,-19.374441,47.029942,8.287648,7.844400,NaN,NaN,NaN
20200203T133502200,-168.593549,-19.596797,47.029940,8.287646,7.986600,NaN,NaN,NaN
20200203T133502300,-168.730390,-19.808035,47.029938,8.287644,8.277840,NaN,NaN,NaN
20200203T133502400,-168.821619,-20.019275,47.029936,8.287643,8.253000,NaN,NaN,NaN
20200203T133502500,-168.874837,-20.186043,47.029935,8.287642,8.025840,NaN,NaN,NaN
20200203T133502600,-169.004073,-20.297220,47.029934,8.287641,7.926480,NaN,NaN,NaN
20200203T133502700,-169.042086,-20.441753,47.029932,8.287640,7.854480,NaN,NaN,NaN
20200203T133502800,-169.102909,-20.708583,47.029930,8.287639,7.798680,NaN,NaN,NaN
20200203T133502900,-169.163731,-20.919823,47.029928,8.287639,7.646040,NaN,NaN,NaN
20200203T133503000,-169.270163,-21.097709,47.029926,8.287637,7.658280,NaN,NaN,NaN
20200203T133503100,-169.407004,-21.342301,47.029924,8.287635,7.809480,NaN,NaN,NaN
20200203T133503200,-169.513437,-21.531304,47.029922,8.287634,7.724880,NaN,NaN,NaN
20200203T133503300,-169.581857,-21.631364,47.029922,8.287633,7.429320,NaN,NaN,NaN
20200203T133503400,-169.726301,-21.898192,47.029919,8.287631,7.564680,NaN,NaN,NaN
20200203T133503500,-169.794725,-22.142786,47.029917,8.287630,7.844400,NaN,NaN,NaN
20200203T133503600,-169.847942,-22.276200,47.029916,8.287630,7.799040,NaN,NaN,NaN
20200203T133503700,-169.908764,-22.487441,47.029914,8.287629,7.814880,NaN,NaN,NaN
20200203T133503800,-170.007593,-22.620854,47.029913,8.287627,7.761240,NaN,NaN,NaN
20200203T133503900,-170.121628,-22.843211,47.029911,8.287626,7.836840,NaN,NaN,NaN
20200203T133504000,-170.197652,-22.998861,47.029909,8.287625,7.685640,NaN,NaN,NaN
20200203T133504100,-170.243268,-23.154511,47.029908,8.287624,7.412400,NaN,NaN,NaN
20200203T133504200,-170.372505,-23.332396,47.029906,8.287623,7.359480,NaN,NaN,NaN
20200203T133504300,-170.463735,-23.565871,47.029904,8.287622,7.588440,NaN,NaN,NaN
20200203T133504400,-170.494147,-23.710404,47.029903,8.287621,7.326000,NaN,NaN,NaN
20200203T133504500,-170.524559,-23.854938,47.029902,8.287621,6.935760,NaN,NaN,NaN
20200203T133504600,-170.615785,-23.977233,47.029901,8.287619,6.904440,NaN,NaN,NaN
20200203T133504700,-170.714617,-24.199590,47.029899,8.287618,6.954480,NaN,NaN,NaN
