"","Sensor","last_name","first_name","date","type","position","feature_distance","feature_d_speed_0_5","feature_d_speed_5_10","feature_d_speed_10_15","feature_d_speed_15_21","feature_d_speed_21_24","feature_d_speed_24_30","feature_d_speed_over30","feature_hid_d_15","feature_hid_d_21","feature_acc_3mss","feature_dec_3mss","feature_acc_3.5mss","feature_dec_3.5mss","feature_acc_4mss","feature_dec_4mss","feature_sprint_over24","feature_avg_speed","feature_max_speed","feature_max_acc"
"245","9","SORGIC","DEJAN",2020-11-07 18:00:42,"game","ejan center",10.88,2.27,3.57,3.14,1.51,0.2,0.16,0.02,1.86,0.37,75,101,29,61,10,33,12,6.72,32.38,4.77
"246","10","SCHAUB","LOUIS",2020-11-07 18:00:42,"game","center midfield",12.16,2.31,3.22,4,2.07,0.41,0.16,0,2.6,0.56,89,107,29,50,9,23,14,7.45,28.76,4.55
"247","12","SIDLER","SYLVAN",2020-11-07 18:00:42,"game","left back",8.47,1.71,2.63,2.36,1.41,0.29,0.08,0,1.75,0.36,65,76,26,47,9,24,8,7.17,27.83,4.48
"248","13","NDENGE","TSIY",2020-11-07 18:00:42,"game","center midfield",9.75,1.97,3.26,2.98,1.15,0.24,0.15,0,1.52,0.39,57,56,25,29,9,12,12,6.77,28.66,5.01
"249","14","CARBONELL","ALEX",2020-11-07 18:00:42,"game","lex center",9.08,1.4,2.38,3.3,1.73,0.2,0.06,0,1.98,0.26,72,67,32,30,11,16,4,7.62,26.61,5.18
"250","15","SCHULZ","MARVIN",2020-11-07 18:00:42,"game","center midfield",11.06,2.17,4,3.04,1.39,0.25,0.21,0,1.82,0.45,67,60,23,27,13,17,13,6.74,29.81,5.07
"251","18","EMINI","LORIK",2020-11-07 18:00:42,"game","orik center",3.51,0.57,1.11,1.12,0.53,0.1,0.08,0,0.7,0.18,19,24,6,15,1,12,8,7.74,27.35,4.44
"252","20","ALOUNGA","YVAN",2020-11-07 18:00:42,"game","left forward",1.5,0.36,0.46,0.35,0.2,0.03,0.09,0,0.33,0.12,11,17,7,7,3,4,4,7.1,29.64,4.26
"253","23","TAZAR","VAROL",2020-11-07 18:00:42,"game","left forward",2.78,0.75,0.94,0.65,0.33,0.05,0.04,0.01,0.43,0.1,26,31,11,13,6,5,3,5.79,31.39,5.1
"254","25","FRYDEK","MARTIN",2020-11-07 18:00:42,"game","artin left",11.98,1.94,3.96,3.34,1.87,0.51,0.36,0,2.72,0.86,90,114,38,61,11,36,24,7.3,29.54,4.79
"255","4","KNEZEVIC","STEFAN",2019-12-07 18:00:01,"game","center back",10.69,2.63,3.75,2.84,1.2,0.16,0.11,0,1.45,0.26,72,115,24,50,10,26,8,6.44,28.01,4.69
"256","5","ALVES","LUCAS",2019-12-07 18:00:01,"game","center back",9.5,2.84,3.54,1.87,0.89,0.18,0.17,0.02,1.24,0.37,60,79,22,39,10,16,11,5.71,31.81,4.85
"257","7","IBRAH","NDIAYE",2019-12-07 18:00:01,"game","left forward",11.28,2.34,2.85,3.44,1.98,0.38,0.26,0.02,2.62,0.66,126,125,60,63,22,36,16,7.21,31.4,5.02
"258","9","MARGIOTTA","F",2019-12-07 18:00:01,"game","ran center",1.82,0.46,0.59,0.4,0.24,0.06,0.06,0,0.36,0.12,19,20,6,9,4,3,7,6.23,26.38,4.76
"259","11","SCHURPF","PASCA",2019-12-07 18:00:01,"game","left forward",11.35,2.96,3.54,2.74,1.58,0.34,0.19,0,2.09,0.53,78,106,38,53,12,29,12,6.62,28.45,4.81
"260","17","GRETHER","SIMON",2019-12-07 18:00:01,"game","right back",10.86,2.75,3.34,2.65,1.67,0.3,0.16,0,2.1,0.46,75,96,20,47,7,18,15,6.6,28.85,5.1
"261","18","EMINI","LORIK",2019-12-07 18:00:01,"game","orik center",11.18,2.33,3.81,3.19,1.46,0.23,0.16,0,1.82,0.39,78,114,34,51,7,27,10,6.81,29.05,5.09
"262","20","DEMHASAJ","MIMI",2019-12-07 18:00:01,"game","center forward",7.3,1.68,2.09,2.24,1.02,0.15,0.12,0,1.28,0.27,50,62,21,30,3,8,8,6.8,29.45,4.7
"263","21","MALES","DARIAN",2019-12-07 18:00:01,"game","center forward",4.13,0.8,1.28,1.11,0.76,0.13,0.04,0,0.92,0.17,33,50,14,32,6,18,5,7.19,26.87,4.74
"264","22","BURCH","MARCO",2019-12-07 18:00:01,"game","right back",10.24,3.05,3.65,2.21,0.93,0.2,0.18,0,1.29,0.38,86,122,44,54,16,34,12,5.93,30.25,5
"265","23","MISTVAFOVIC","DAVID",2019-12-07 18:00:01,"game","center back",11.94,2.14,3.92,3.55,1.88,0.31,0.14,0,2.3,0.44,91,118,39,49,17,21,11,7.28,29.25,4.84
"266","77","RYDER","MATOS",2019-12-07 18:00:01,"game","center forward",9.06,2.06,2.96,2.33,1.23,0.32,0.16,0,1.68,0.47,66,84,29,49,9,23,13,6.69,29,5.72
"267","3","CIRKOVIC","LAZAR",2020-01-08 12:59:14,"game","center back",5.28,1.01,2.29,1.35,0.48,0.1,0.04,0,0.62,0.14,25,40,10,13,6,4,4,6.87,27.16,4.84
"268","4","KNEZEVIC","STEFAN",2020-01-08 12:59:14,"game","center back",6.06,0.99,1.87,1.95,1.1,0.1,0.05,0,1.23,0.15,69,63,27,34,12,16,2,7.61,28.04,5.14
"269","5","ALVES","LUCAS",2020-01-08 12:59:14,"game","center back",5.44,0.99,2.03,1.66,0.63,0.1,0.02,0,0.74,0.12,38,44,18,26,14,12,3,7.13,25.31,4.99
"270","6","ARNOLD","REMO",2020-01-08 12:59:14,"game","center midfield",3.12,0.76,0.9,0.88,0.48,0.08,0.01,0,0.57,0.09,23,28,13,21,2,7,1,6.7,26.78,4.26
