"","Sensor","last_name","first_name","date","type","position","feature_distance","feature_d_speed_0_5","feature_d_speed_5_10","feature_d_speed_10_15","feature_d_speed_15_21","feature_d_speed_21_24","feature_d_speed_24_30","feature_d_speed_over30","feature_hid_d_15","feature_hid_d_21","feature_acc_3mss","feature_dec_3mss","feature_acc_3.5mss","feature_dec_3.5mss","feature_acc_4mss","feature_dec_4mss","feature_sprint_over24","feature_avg_speed","feature_max_speed","feature_max_acc"
"1036","5","ALVES","LUCAS",2020-06-01 07:53:17,"practice","center back",6.42,2.14,2.9,1.08,0.28,0.02,0,0,0.3,0.02,41,47,16,28,4,12,0,4.52,23.33,4.61
"1037","7","IBRAH","NDIAYE",2020-06-01 07:53:17,"practice","left forward",6.68,2.36,2.7,1.17,0.41,0.02,0.03,0,0.45,0.05,74,55,31,29,13,13,2,4.77,27.44,4.75
"1038","9","MARGIOTTA","F",2020-06-01 07:53:17,"practice","ran center",6.92,1.95,3.04,1.47,0.46,0.01,0,0,0.45,0.01,31,41,8,17,2,8,0,4.97,21.81,4.39
"1039","10","ELEKE","BLESSING",2020-06-01 07:53:17,"practice","center forward",2.7,1.05,1.38,0.24,0.03,0,0,0,0.03,0,11,14,6,7,2,3,0,4.97,18.67,4.26
"1040","11","SCHURPF","PASCA",2020-06-01 07:53:17,"practice","left forward",7.66,2.09,3.07,1.84,0.58,0.05,0.03,0,0.65,0.08,45,53,19,24,2,14,2,5.53,28.54,4.35
"1041","12","SIDLER","SYLVAN",2020-06-01 07:53:17,"practice","left back",7.14,2.52,2.96,1.16,0.4,0.07,0.03,0,0.48,0.09,83,49,36,33,14,14,5,5.09,26.8,5.49
"1042","13","NDENGE","TSIY",2020-06-01 07:53:17,"practice","center midfield",6.99,2.14,2.82,1.74,0.28,0.01,0,0,0.27,0.01,39,38,18,26,5,8,0,5.01,23,5.2
"1043","14","VOCA","IDRIZ",2020-06-01 07:53:17,"practice","center midfield",7.91,2.02,3.42,1.92,0.51,0.03,0.01,0,0.54,0.04,49,62,14,30,3,9,2,5.67,24.6,4.32
"1044","15","SCHULZ","MARVIN",2020-06-01 07:53:17,"practice","center midfield",7.15,2.09,3.08,1.51,0.44,0.03,0,0,0.46,0.03,51,59,21,23,2,8,1,5.12,24.26,4.3
"1045","17","GRETHER","SIMON",2020-06-01 07:53:17,"practice","right back",2.72,0.93,1.54,0.23,0.02,0,0,0,0.02,0,15,5,5,2,1,1,0,5,19.36,4.28
"1046","18","EMINI","LORIK",2020-06-01 07:53:17,"practice","orik center",6.86,2.36,3.21,0.94,0.29,0.04,0.01,0,0.33,0.04,56,49,14,31,6,14,1,4.93,25.22,4.5
"1047","20","DEMHASAJ","MIMI",2020-06-01 07:53:17,"practice","center forward",7.03,2.37,2.75,1.49,0.39,0.02,0,0,0.4,0.02,45,44,18,16,5,5,0,5.09,23.01,4.68
"1048","21","MALES","DARIAN",2020-06-01 07:53:17,"practice","center forward",7.41,2.3,2.87,1.48,0.7,0.05,0.01,0,0.75,0.06,69,71,28,38,11,25,2,5.34,25.27,5.66
"1049","22","BURCH","MARCO",2020-06-01 07:53:17,"practice","right back",7.12,2.75,2.86,0.98,0.46,0.06,0.02,0,0.52,0.07,56,73,16,37,5,24,2,5.08,26.25,4.56
"1050","23","MISTVAFOVIC","DAVID",2020-06-01 07:53:17,"practice","center back",8.19,1.83,3.47,2.14,0.7,0.05,0,0,0.74,0.05,65,78,25,34,8,17,0,5.92,23.57,4.99
"1051","28","TIA","CHEF",2020-06-01 07:53:17,"practice","center forward",7.29,2.53,2.83,1.31,0.48,0.11,0.03,0,0.61,0.14,47,65,16,32,8,13,4,5.2,26.1,5.02
"1052","77","RYDER","MATOS",2020-06-01 07:53:17,"practice","center forward",6.17,2.46,2.42,0.93,0.31,0.05,0.01,0,0.36,0.05,42,41,18,19,6,9,1,4.43,25.73,4.66
"1053","0","BALATUBAN","ASH",2020-07-01 13:29:12,"practice","left back",3.21,1.45,0.83,0.72,0.18,0.02,0.01,0,0.2,0.03,29,23,14,5,8,2,1,3.39,24.68,5.18
"1054","2","KAKABADZE","OTAR",2020-07-01 13:29:12,"practice","right back",3.15,1.51,0.71,0.66,0.27,0,0,0,0.27,0,25,8,14,1,4,1,0,3.41,20.54,5.03
"1055","3","BÜRKI","MARCO",2020-07-01 13:29:12,"practice","left back",3.2,1.55,0.83,0.71,0.11,0,0,0,0.11,0,33,10,13,3,7,1,0,3.47,20.43,5.48
"1056","4","KNEZEVIC","STEFAN",2020-07-01 13:29:12,"practice","center back",3.59,1.57,0.99,0.76,0.26,0.01,0,0,0.26,0.01,36,18,23,9,10,6,1,4.06,24.27,5.82
"1057","5","ALVES","LUCAS",2020-07-01 13:29:12,"practice","center back",3.57,1.37,1.03,0.97,0.2,0,0,0,0.19,0,38,17,14,7,10,4,0,3.94,20.6,5.13
"1058","7","IBRAH","NDIAYE",2020-07-01 13:29:12,"practice","left forward",3.7,1.4,1.01,0.85,0.3,0.07,0.06,0.01,0.43,0.13,55,47,31,26,21,11,4,4.06,30.53,5.88
"1059","9","MARGIOTTA","F",2020-07-01 13:29:12,"practice","ran center",3.37,1.48,0.9,0.79,0.19,0,0,0,0.19,0,23,11,8,3,6,0,0,3.7,20.5,5.02
"1060","10","ELEKE","BLESSING",2020-07-01 13:29:12,"practice","center forward",3.67,1.64,1.08,0.74,0.19,0.01,0,0,0.2,0.01,27,17,11,7,7,0,0,4.08,22.35,4.98
"1061","11","SCHURPF","PASCA",2020-07-01 13:29:12,"practice","left forward",3.35,1.66,0.87,0.58,0.22,0.01,0,0,0.22,0.01,35,22,23,11,11,3,0,3.55,22.65,5.44
"1062","12","SIDLER","SYLVAN",2020-07-01 13:29:12,"practice","left back",3.57,1.49,1.06,0.86,0.13,0.02,0.01,0,0.15,0.03,32,23,15,9,7,4,2,3.89,25.06,5.3
"1063","15","SCHULZ","MARVIN",2020-07-01 13:29:12,"practice","center midfield",3.81,1.41,0.88,1.12,0.36,0.03,0.01,0,0.39,0.04,28,30,18,13,12,4,1,4.19,24.94,4.85
"1064","17","GRETHER","SIMON",2020-07-01 13:29:12,"practice","right back",3.43,1.61,0.78,0.8,0.21,0.03,0,0,0.24,0.03,38,30,25,13,9,4,0,3.71,23.67,5.57
"1065","18","EMINI","LORIK",2020-07-01 13:29:12,"practice","orik center",3.56,1.3,1.04,0.85,0.36,0.02,0.01,0,0.37,0.02,38,20,12,13,7,6,2,3.96,25.14,5.17
"1066","19","OWUSU","TYRON",2020-07-01 13:29:12,"practice","left forward",3.32,1.23,0.91,0.98,0.19,0.01,0,0,0.2,0.01,23,9,10,3,4,0,0,3.67,23.74,6.12
"1067","20","JASHARI","ARDON",2020-07-01 13:29:12,"practice","center midfield",3.64,1.55,0.99,0.82,0.28,0.01,0,0,0.28,0,26,24,8,7,4,1,0,3.95,21.92,5.38
"1068","22","BURCH","MARCO",2020-07-01 13:29:12,"practice","right back",3.66,1.48,1.02,0.84,0.28,0.02,0,0,0.3,0.02,42,38,18,15,8,5,0,4.07,23.72,5.73
"1069","23","MISTVAFOVIC","DAVID",2020-07-01 13:29:12,"practice","center back",3.65,1.41,1.04,0.82,0.31,0.06,0.03,0,0.38,0.08,40,30,26,20,10,12,3,4.03,27.27,5.38
"1070","28","MARLEKU","MARK",2020-07-01 13:29:12,"practice","center forward",3.76,1.56,0.91,0.99,0.27,0.03,0,0,0.29,0.03,29,22,13,10,6,4,0,4.23,22.36,5.33
"1071","77","RYDER","MATOS",2020-07-01 13:29:12,"practice","center forward",3.69,1.55,0.94,0.82,0.3,0.05,0.03,0,0.37,0.08,28,31,11,15,6,9,3,4.14,27.24,5.72
"1072","0","BALATUBAN","ASH",2020-10-01 08:00:13,"practice","left back",6.58,2.03,2.44,1.34,0.67,0.1,0.01,0,0.76,0.1,50,60,21,30,9,13,2,4.98,24.7,4.65
"1073","3","BÜRKI","MARCO",2020-10-01 08:00:13,"practice","left back",7.28,2.01,2.89,1.51,0.7,0.13,0.04,0,0.86,0.17,63,54,18,21,6,13,5,5.55,26.58,5.21
"1074","4","KNEZEVIC","STEFAN",2020-10-01 08:00:13,"practice","center back",7.03,1.95,2.66,1.72,0.64,0.04,0.02,0,0.68,0.06,49,56,17,30,5,8,2,5.34,27.33,4.68
"1075","5","ALVES","LUCAS",2020-10-01 08:00:13,"practice","center back",6.68,1.81,3.06,1.37,0.4,0.03,0.01,0,0.43,0.04,40,51,14,19,3,11,1,5.07,26.31,4.32
"1076","7","IBRAH","NDIAYE",2020-10-01 08:00:13,"practice","left forward",7.26,1.74,2.68,1.91,0.77,0.11,0.05,0,0.91,0.15,55,85,29,43,8,19,6,5.56,26.36,4.45
"1077","10","SCHAUB","LOUIS",2020-10-01 08:00:13,"practice","center midfield",7.7,1.85,2.62,2.24,0.83,0.14,0.03,0,0.98,0.16,54,56,18,24,2,16,2,5.86,27.75,4.29
"1078","11","SCHURPF","PASCA",2020-10-01 08:00:13,"practice","left forward",7.32,1.98,2.78,1.59,0.76,0.14,0.06,0,0.95,0.2,69,66,24,33,7,9,6,5.58,30.04,4.67
"1079","12","SIDLER","SYLVAN",2020-10-01 08:00:13,"practice","left back",7.18,2.1,2.75,1.55,0.65,0.12,0.02,0,0.78,0.14,60,68,24,41,9,22,3,5.34,26.18,5.02
"1080","13","NDENGE","TSIY",2020-10-01 08:00:13,"practice","center midfield",6.72,1.95,2.56,1.61,0.55,0.03,0.03,0,0.6,0.06,37,44,18,17,3,7,4,5.06,26.15,4.12
"1081","15","SCHULZ","MARVIN",2020-10-01 08:00:13,"practice","center midfield",6.3,2.18,2.41,1.11,0.5,0.07,0.02,0,0.58,0.09,30,50,11,25,4,13,3,4.76,25.97,4.77
"1082","18","EMINI","LORIK",2020-10-01 08:00:13,"practice","orik center",7.14,1.75,3.13,1.76,0.41,0.07,0.02,0,0.49,0.09,26,49,6,28,0,0,3,5.49,26.33,3.78
"1083","20","ALOUNGA","YVAN",2020-10-01 08:00:13,"practice","left forward",6.56,1.99,2.61,1.26,0.59,0.08,0.04,0,0.69,0.11,54,65,19,28,3,16,5,5.06,27.99,4.68
"1084","21","LINO","LANG",2020-10-01 08:00:13,"practice","right midfield",7.43,1.7,3.13,1.83,0.61,0.12,0.03,0,0.75,0.15,46,61,13,36,3,14,5,5.71,28.05,5.72
"1085","28","MARLEKU","MARK",2020-10-01 08:00:13,"practice","center forward",7.3,1.86,2.91,1.61,0.75,0.14,0.03,0,0.91,0.17,42,72,13,31,4,16,2,5.58,27.88,4.42
"1086","77","F","UGRINIC",2020-10-01 08:00:13,"practice","ilip center",7.39,1.88,2.89,1.67,0.76,0.11,0.09,0,0.94,0.19,58,60,17,32,5,12,7,5.7,28.33,4.19
"1087","3","BÜRKI","MARCO",2020-03-02 09:00:13,"practice","left back",7.41,2.2,2.68,1.95,0.57,0.01,0,0,0.57,0.01,60,43,28,22,6,11,0,5.56,22.04,5.07
"1088","4","KNEZEVIC","STEFAN",2020-03-02 09:00:13,"practice","center back",6.97,2.08,2.48,1.8,0.55,0.05,0,0,0.59,0.05,42,44,7,11,1,4,1,5.31,24.05,4.47
"1089","5","ALVES","LUCAS",2020-03-02 09:00:13,"practice","center back",6.78,1.99,2.49,1.6,0.63,0.06,0.01,0,0.68,0.06,48,32,16,15,2,5,2,5.1,24.25,4.32
"1090","6","BALATUBAN","ASH",2020-03-02 09:00:13,"practice","left back",7.14,2.07,2.46,1.78,0.78,0.03,0.03,0,0.82,0.05,70,46,33,20,5,7,2,5.45,29.15,5.06
"1091","9","MARGIOTTA","F",2020-03-02 09:00:13,"practice","ran center",6.26,2.07,2.16,1.49,0.51,0.01,0,0,0.52,0.01,34,37,10,14,4,5,0,4.76,22.83,4.23
"1092","10","ELEKE","BLESSING",2020-03-02 09:00:13,"practice","center forward",6.96,2.41,2.5,1.36,0.63,0.03,0.02,0,0.67,0.06,46,42,24,14,8,7,1,5.14,30.22,4.91
"1093","11","SCHURPF","PASCA",2020-03-02 09:00:13,"practice","left forward",6.88,2.23,2.18,1.7,0.72,0.05,0,0,0.75,0.05,65,49,21,29,6,11,1,5.15,24.51,4.81
"1094","12","SIDLER","SYLVAN",2020-03-02 09:00:13,"practice","left back",7.39,2.16,2.68,1.59,0.89,0.06,0.01,0,0.94,0.07,73,58,25,37,7,22,1,5.54,26.23,4.97
"1095","13","NDENGE","TSIY",2020-03-02 09:00:13,"practice","center midfield",6.74,2.18,2.52,1.57,0.45,0.02,0,0,0.46,0.02,42,29,15,12,7,5,1,4.98,24.46,4.36
"1096","14","VOCA","IDRIZ",2020-03-02 09:00:13,"practice","center midfield",7.61,1.9,2.77,2.05,0.82,0.08,0,0,0.88,0.08,59,52,20,21,4,6,0,5.76,23.06,4.74
"1097","15","SCHULZ","MARVIN",2020-03-02 09:00:13,"practice","center midfield",6.91,2.14,2.49,1.58,0.6,0.05,0.03,0.01,0.68,0.09,20,27,3,9,0,0,1,5.14,30.8,3.82
"1098","17","GRETHER","SIMON",2020-03-02 09:00:13,"practice","right back",6.81,2.06,2.51,1.38,0.75,0.08,0.03,0,0.85,0.11,53,46,20,23,3,6,2,5.15,27.78,4.83
"1099","18","EMINI","LORIK",2020-03-02 09:00:13,"practice","orik center",7.14,1.96,2.81,1.7,0.61,0.04,0.03,0,0.66,0.06,32,45,5,20,0,0,4,5.43,25.97,3.89
"1100","20","DEMHASAJ","MIMI",2020-03-02 09:00:13,"practice","center forward",7.11,2.28,2.37,1.55,0.8,0.07,0.05,0,0.9,0.12,33,31,7,9,2,4,5,5.34,26.86,4.55
"1101","21","MALES","DARIAN",2020-03-02 09:00:13,"practice","center forward",6.66,2.17,2.39,1.41,0.66,0.02,0,0,0.68,0.02,71,47,36,22,12,14,1,5.05,24.71,4.89
"1102","22","BURCH","MARCO",2020-03-02 09:00:13,"practice","right back",7.48,2.16,2.85,1.64,0.77,0.05,0.02,0,0.82,0.07,54,45,21,19,6,12,2,5.66,25.12,4.44
"1103","23","MISTVAFOVIC","DAVID",2020-03-02 09:00:13,"practice","center back",7.02,2.06,2.52,1.55,0.8,0.05,0.04,0,0.88,0.09,68,87,25,37,6,10,3,5.31,28.1,5.13
"1104","28","TIA","CHEF",2020-03-02 09:00:13,"practice","center forward",7.27,2.02,2.46,1.86,0.84,0.07,0.02,0,0.91,0.09,75,66,39,32,19,21,2,5.52,29.55,4.72
"1105","77","RYDER","MATOS",2020-03-02 09:00:13,"practice","center forward",5.94,2.21,1.78,1.31,0.54,0.07,0.04,0,0.63,0.11,42,21,14,9,9,2,5,4.42,27.79,4.96
"1106","2","KAKABADZE","OTAR",2020-06-02 12:51:46,"practice","right back",6.39,2,2.2,1.51,0.59,0.04,0.04,0,0.67,0.09,36,29,15,12,4,4,2,4.54,27.63,4.94
"1107","3","BÜRKI","MARCO",2020-06-02 12:51:46,"practice","left back",6.57,1.75,2.77,1.53,0.46,0.04,0.01,0,0.5,0.05,39,27,13,9,5,3,1,4.78,24.84,4.64
"1108","4","KNEZEVIC","STEFAN",2020-06-02 12:51:46,"practice","center back",6.67,1.8,2.47,1.78,0.58,0.02,0.02,0,0.6,0.03,49,49,17,23,6,8,1,4.82,26.15,4.71
"1109","5","ALVES","LUCAS",2020-06-02 12:51:46,"practice","center back",6.57,1.68,2.6,1.68,0.59,0.02,0,0,0.61,0.02,69,28,26,17,9,7,0,4.74,22.65,5.04
"1110","6","BALATUBAN","ASH",2020-06-02 12:51:46,"practice","left back",6.85,1.84,2.13,1.65,0.92,0.22,0.1,0,1.21,0.31,101,103,61,62,25,36,14,5.06,27.93,5.28
"1111","7","IBRAH","NDIAYE",2020-06-02 12:51:46,"practice","left forward",7.16,1.93,1.98,2.13,0.87,0.15,0.1,0,1.1,0.24,70,72,49,48,17,22,9,5.24,27.9,5
"1112","9","MARGIOTTA","F",2020-06-02 12:51:46,"practice","ran center",7.11,1.91,2.18,2.2,0.76,0.06,0.01,0,0.82,0.07,67,42,18,15,3,10,2,5.31,25.72,4.29
"1113","10","ELEKE","BLESSING",2020-06-02 12:51:46,"practice","center forward",6.97,2.3,2.58,1.17,0.71,0.15,0.06,0,0.9,0.2,57,47,12,34,4,21,9,5.09,26.33,5.25
"1114","11","SCHURPF","PASCA",2020-06-02 12:51:46,"practice","left forward",7.22,2.06,2.11,1.93,0.92,0.13,0.07,0,1.1,0.19,82,48,37,21,15,7,6,5.29,26.79,4.74
"1115","12","SIDLER","SYLVAN",2020-06-02 12:51:46,"practice","left back",7.02,2.07,2.23,1.96,0.65,0.08,0.02,0,0.74,0.1,42,45,17,19,6,7,3,5.1,25.56,5.06
"1116","13","NDENGE","TSIY",2020-06-02 12:51:46,"practice","center midfield",7.1,1.96,2.29,2.18,0.58,0.07,0.02,0,0.67,0.1,49,34,19,10,8,4,2,5.18,27.63,4.55
"1117","14","VOCA","IDRIZ",2020-06-02 12:51:46,"practice","center midfield",7.44,1.87,2.54,2.5,0.52,0.01,0,0,0.53,0.01,52,39,16,15,5,9,0,5.47,22.55,5.36
"1118","15","SCHULZ","MARVIN",2020-06-02 12:51:46,"practice","center midfield",6.9,1.98,2.34,1.96,0.56,0.05,0.01,0,0.61,0.05,42,43,15,22,6,12,1,5.07,25.55,5.38
"1119","17","GRETHER","SIMON",2020-06-02 12:51:46,"practice","right back",6.22,1.9,2.33,1.39,0.55,0.06,0,0,0.6,0.06,34,27,13,19,9,9,0,4.49,23.33,5.24
"1120","18","EMINI","LORIK",2020-06-02 12:51:46,"practice","orik center",2.55,1.07,0.67,0.49,0.29,0.03,0,0,0.32,0.03,22,18,6,9,0,0,0,3.94,22.7,3.74
"1121","20","DEMHASAJ","MIMI",2020-06-02 12:51:46,"practice","center forward",6.96,2.03,2.4,1.76,0.67,0.1,0,0,0.75,0.1,39,53,17,37,4,11,1,5.13,24.08,4.53
"1122","21","MALES","DARIAN",2020-06-02 12:51:46,"practice","center forward",7.32,1.89,2.11,2.28,0.87,0.13,0.04,0,1.03,0.17,88,42,40,19,25,11,5,5.43,25.87,5.08
"1123","22","BURCH","MARCO",2020-06-02 12:51:46,"practice","right back",6.66,1.8,2.43,1.84,0.51,0.06,0.01,0,0.57,0.07,55,54,20,28,6,18,2,4.83,25.74,4.85
"1124","23","MISTVAFOVIC","DAVID",2020-06-02 12:51:46,"practice","center back",7.48,1.69,2.57,2.38,0.72,0.08,0.04,0,0.82,0.12,44,34,19,25,11,17,5,5.51,26.68,5.38
"1125","27","SCHWEGLER","CHRISTIAN",2020-06-02 12:51:46,"practice","right back",5.8,1.94,2.02,1.3,0.43,0.08,0.03,0,0.53,0.11,41,38,18,22,10,8,4,4.21,27.28,4.92
"1126","28","TIA","CHEF",2020-06-02 12:51:46,"practice","center forward",2.44,1.14,0.65,0.49,0.15,0.01,0.01,0,0.16,0.02,15,6,5,0,2,0,1,3.77,26.55,4.26
"1127","77","RYDER","MATOS",2020-06-02 12:51:46,"practice","center forward",6.7,2.18,2.1,1.51,0.74,0.15,0.02,0,0.89,0.17,62,57,33,32,13,14,3,4.96,26.92,4.99
"1128","4","KNEZEVIC","STEFAN",2019-10-02 08:13:06,"practice","center back",6.3,2.24,2.2,1.15,0.65,0.06,0,0,0.7,0.06,49,44,17,14,4,7,0,4.62,23.6,4.44
"1129","5","ALVES","LUCAS",2019-10-02 08:13:06,"practice","center back",5.76,2.17,1.97,1.05,0.5,0.05,0.01,0,0.55,0.06,70,30,24,22,9,9,1,4.12,26.33,5.08
"1130","7","IBRAH","NDIAYE",2019-10-02 08:13:06,"practice","left forward",5.92,2.22,1.69,1.16,0.67,0.1,0.09,0,0.84,0.19,94,73,47,37,17,14,7,4.27,28.87,5.28
"1131","9","MARGIOTTA","F",2019-10-02 08:13:06,"practice","ran center",5.83,2.06,1.85,1.21,0.6,0.1,0.01,0,0.69,0.1,50,43,27,21,5,12,1,4.22,25.77,4.39
"1132","10","ELEKE","BLESSING",2019-10-02 08:13:06,"practice","center forward",6.57,2.66,1.94,1.04,0.74,0.17,0.02,0,0.91,0.18,68,50,32,26,11,9,5,4.38,26.64,5.03
"1133","11","SCHURPF","PASCA",2019-10-02 08:13:06,"practice","left forward",5.77,2.48,1.68,0.85,0.59,0.12,0.04,0,0.74,0.16,70,44,24,19,10,10,6,4.1,26.17,5.2
"1134","12","SIDLER","SYLVAN",2019-10-02 08:13:06,"practice","left back",6.32,2.46,2.19,0.95,0.57,0.11,0.04,0,0.71,0.14,45,55,17,40,4,21,5,4.58,28.13,4.64
"1135","14","VOCA","IDRIZ",2019-10-02 08:13:06,"practice","center midfield",4.64,1.78,1.41,0.88,0.43,0.08,0.06,0,0.56,0.14,43,29,17,9,8,4,5,4.44,27.36,4.85
"1136","15","SCHULZ","MARVIN",2019-10-02 08:13:06,"practice","center midfield",6.05,2.62,1.65,0.93,0.63,0.16,0.07,0,0.84,0.22,37,38,14,16,10,8,7,4.28,26.91,4.61
"1137","16","BINOUS","SALAH",2019-10-02 08:13:06,"practice","center forward",7.09,2.29,1.91,1.05,0.85,0.78,0.21,0,1.82,0.98,151,61,77,38,36,25,19,4.35,29.74,5.06
"1138","20","DEMHASAJ","MIMI",2019-10-02 08:13:06,"practice","center forward",7.12,2.75,1.7,0.96,0.95,0.54,0.22,0.01,1.7,0.76,82,47,41,26,13,9,20,4.64,30.31,4.36
"1139","21","MALES","DARIAN",2019-10-02 08:13:06,"practice","center forward",7.16,2.51,1.63,1.09,1.12,0.68,0.12,0,1.9,0.8,120,60,72,33,42,17,12,4.49,25.84,4.71
"1140","23","MISTVAFOVIC","DAVID",2019-10-02 08:13:06,"practice","center back",7.41,2.12,2.19,1.36,0.84,0.76,0.14,0,1.73,0.9,97,59,54,36,29,11,11,4.65,26.51,5.18
"1141","2","KAKABADZE","OTAR",2019-11-02 09:00:08,"practice","right back",4.57,2.1,1.47,0.86,0.13,0,0,0,0.13,0,27,14,12,7,3,0,0,3.55,21.09,4.65
"1142","3","CIRKOVIC","LAZAR",2019-11-02 09:00:08,"practice","center back",4.15,1.99,1.51,0.61,0.04,0,0,0,0.04,0,27,11,6,6,3,3,0,3.44,20.28,4.45
"1143","4","KNEZEVIC","STEFAN",2019-11-02 09:00:08,"practice","center back",4.75,2.24,1.61,0.68,0.21,0.01,0,0,0.21,0.01,31,20,13,6,4,3,0,3.84,21.72,4.91
"1144","5","ALVES","LUCAS",2019-11-02 09:00:08,"practice","center back",4.09,2.09,1.29,0.62,0.08,0,0,0,0.08,0,37,26,10,9,3,1,0,3.29,22.18,5.32
"1145","7","IBRAH","NDIAYE",2019-11-02 09:00:08,"practice","left forward",4.87,2.58,1.36,0.72,0.18,0.01,0.02,0,0.2,0.03,51,40,28,18,12,5,2,3.53,27.12,5.35
"1146","9","MARGIOTTA","F",2019-11-02 09:00:08,"practice","ran center",4.97,2.14,1.65,0.98,0.19,0.02,0,0,0.2,0.01,36,17,6,7,0,0,0,3.9,23.25,3.95
"1147","10","ELEKE","BLESSING",2019-11-02 09:00:08,"practice","center forward",5.26,2.98,1.49,0.61,0.16,0.01,0,0,0.16,0.01,43,22,16,12,1,9,0,3.48,22.06,4.97
"1148","11","SCHURPF","PASCA",2019-11-02 09:00:08,"practice","left forward",4.31,2.08,1.34,0.7,0.18,0.01,0,0,0.18,0.01,47,24,21,12,7,8,0,3.68,22.77,4.62
"1149","12","SIDLER","SYLVAN",2019-11-02 09:00:08,"practice","left back",5.01,2.75,1.49,0.6,0.17,0.01,0,0,0.17,0.01,37,29,12,14,7,9,0,3.5,22.04,4.88
"1150","14","VOCA","IDRIZ",2019-11-02 09:00:08,"practice","center midfield",4.61,1.99,1.68,0.78,0.16,0,0,0,0.15,0,27,27,10,8,4,2,0,3.56,21.18,4.96
"1151","17","GRETHER","SIMON",2019-11-02 09:00:08,"practice","right back",4.56,2.01,1.54,0.86,0.14,0.01,0,0,0.14,0.01,52,25,19,13,4,2,0,3.7,22.41,4.57
"1152","18","EMINI","LORIK",2019-11-02 09:00:08,"practice","orik center",4.78,2.33,1.52,0.76,0.16,0.01,0,0,0.16,0.01,56,36,19,10,5,4,0,3.53,21.69,4.63
"1153","20","DEMHASAJ","MIMI",2019-11-02 09:00:08,"practice","center forward",4.43,2.11,1.36,0.68,0.24,0.02,0.02,0,0.27,0.04,33,22,14,13,5,6,2,3.67,25.57,4.46
"1154","21","MALES","DARIAN",2019-11-02 09:00:08,"practice","center forward",4.61,2.22,1.37,0.83,0.16,0.02,0.01,0,0.18,0.03,42,34,18,16,13,6,1,3.45,26.59,4.59
"1155","23","MISTVAFOVIC","DAVID",2019-11-02 09:00:08,"practice","center back",4.86,2.19,1.61,0.87,0.2,0,0,0,0.19,0,49,30,17,16,4,9,0,3.58,20.9,4.34
"1156","77","RYDER","MATOS",2019-11-02 09:00:08,"practice","center forward",4.73,1.94,1.63,0.86,0.2,0.04,0.03,0.03,0.29,0.09,46,28,19,12,5,6,2,3.67,35.41,5.34
"1157","0","BALATUBAN","ASH",2020-11-02 09:17:36,"practice","left back",7.64,2.55,2.99,1.35,0.62,0.08,0.04,0,0.73,0.12,67,56,29,36,13,14,4,4.63,27.3,4.69
"1158","3","BÜRKI","MARCO",2020-11-02 09:17:36,"practice","left back",6.8,2.4,2.94,1.03,0.36,0.05,0.02,0,0.42,0.06,57,46,40,22,23,6,1,4.12,28.23,4.97
"1159","4","KNEZEVIC","STEFAN",2020-11-02 09:17:36,"practice","center back",7.11,2.72,2.87,1,0.41,0.06,0.05,0,0.51,0.11,66,36,29,21,10,9,2,4.29,27.46,4.82
"1160","5","ALVES","LUCAS",2020-11-02 09:17:36,"practice","center back",6.76,2.46,3.05,0.89,0.3,0.03,0.03,0,0.35,0.06,59,47,24,23,10,13,3,4.08,25.82,5.34
"1161","7","IBRAH","NDIAYE",2020-11-02 09:17:36,"practice","left forward",7.77,2.59,2.85,1.34,0.8,0.16,0.04,0,0.97,0.19,105,89,49,60,17,29,7,4.71,26.59,5.05
"1162","9","SORGIC","DEJAN",2020-11-02 09:17:36,"practice","ejan center",8.15,2.29,3.48,1.51,0.78,0.07,0.02,0,0.85,0.08,65,81,24,46,9,18,2,4.91,26.65,4.57
"1163","10","SCHAUB","LOUIS",2020-11-02 09:17:36,"practice","center midfield",8.85,2.34,3.39,1.91,1,0.15,0.06,0,1.19,0.2,92,70,48,27,24,7,7,5.4,27.28,5.01
"1164","12","SIDLER","SYLVAN",2020-11-02 09:17:36,"practice","left back",7.63,2.56,2.99,1.3,0.57,0.15,0.06,0,0.77,0.21,80,91,44,57,12,25,7,4.61,27.3,4.43
"1165","13","NDENGE","TSIY",2020-11-02 09:17:36,"practice","center midfield",8.01,2.7,3.1,1.57,0.58,0.03,0.01,0,0.61,0.04,97,44,54,20,19,8,2,4.81,26.51,5.02
"1166","14","CARBONELL","ALEX",2020-11-02 09:17:36,"practice","lex center",7.95,2.29,3.24,1.86,0.48,0.04,0.04,0,0.56,0.08,53,28,23,14,7,3,2,4.83,28.22,4.74
"1167","18","EMINI","LORIK",2020-11-02 09:17:36,"practice","orik center",7.67,2.12,3.38,1.43,0.55,0.09,0.11,0,0.74,0.2,48,49,21,19,7,12,6,4.67,28.86,4.69
"1168","20","ALOUNGA","YVAN",2020-11-02 09:17:36,"practice","left forward",7.06,2.88,2.66,0.92,0.5,0.06,0.03,0,0.58,0.09,75,60,51,28,25,13,2,4.29,28.28,4.82
"1169","21","LINO","LANG",2020-11-02 09:17:36,"practice","right midfield",8.03,2.52,3.46,1.35,0.5,0.12,0.09,0.01,0.69,0.21,94,71,41,33,12,16,7,4.91,30.46,5.2
"1170","23","TAZAR","VAROL",2020-11-02 09:17:36,"practice","left forward",7.51,2.42,3.08,1.19,0.62,0.11,0.08,0.01,0.81,0.2,58,55,23,32,9,16,5,4.55,31.22,4.71
